"Target.Rank","Target.Score","miRNA.Name","Gene.ID","Gene.Symbol","Transcript.Accession","Gene.Description","mir_logFC","gene_logFC","gene_adj_pval","strength_score"
2313,85,"hsa-miR-200c-3p",54796,"BNC2","NM_001317939","basonuclin 2",6.50098278914646,-3.16717561039116,6.56095676959932e-09,9.66815839953762
3246,79,"hsa-miR-200c-3p",4692,"NDN","NM_002487","necdin, MAGE family member",6.50098278914646,-3.13596190383032,5.08641418517952e-08,9.63694469297678
2949,81,"hsa-miR-200c-3p",216,"ALDH1A1","NM_000689","aldehyde dehydrogenase 1 family member A1",6.50098278914646,-3.12698761707656,1.00280745160886e-06,9.62797040622302
5299,65,"hsa-miR-200c-3p",862,"RUNX1T1","NM_001198625","RUNX1 translocation partner 1",6.50098278914646,-3.10966830832047,6.56112523988331e-08,9.61065109746693
2803,82,"hsa-miR-200c-3p",25959,"KANK2","NM_001136191","KN motif and ankyrin repeat domains 2",6.50098278914646,-2.69915739165743,5.05090598430855e-08,9.20014018080389
13,100,"hsa-miR-200c-3p",6935,"ZEB1","NM_001323661","zinc finger E-box binding homeobox 1",6.50098278914646,-2.68191062561769,1.82345733391053e-08,9.18289341476415
2144,86,"hsa-miR-200c-3p",219654,"ZCCHC24","NM_153367","zinc finger CCHC-type containing 24",6.50098278914646,-2.65869768631342,8.170276185705e-11,9.15968047545988
1766,88,"hsa-miR-200c-3p",9957,"HS3ST1","NM_005114","heparan sulfate-glucosamine 3-sulfotransferase 1",6.50098278914646,-2.64388157735159,1.27535197699084e-06,9.14486436649805
6104,60,"hsa-miR-200c-3p",51050,"PI15","NM_015886","peptidase inhibitor 15",6.50098278914646,-2.52838077441648,2.17165738919223e-05,9.02936356356294
4158,73,"hsa-miR-200c-3p",4684,"NCAM1","NM_000615","neural cell adhesion molecule 1",6.50098278914646,-2.50533711601413,3.39436833818471e-07,9.00631990516059
2390,85,"hsa-miR-200b-3p",54796,"BNC2","NM_001317939","basonuclin 2",5.81438622528379,-3.16717561039116,6.56095676959932e-09,8.98156183567495
5610,63,"hsa-miR-200c-3p",3708,"ITPR1","NM_001099952","inositol 1,4,5-trisphosphate receptor type 1",6.50098278914646,-2.46337843521539,5.05090598430855e-08,8.96436122436185
3315,79,"hsa-miR-200b-3p",4692,"NDN","NM_002487","necdin, MAGE family member",5.81438622528379,-3.13596190383032,5.08641418517952e-08,8.95034812911411
3028,81,"hsa-miR-200b-3p",216,"ALDH1A1","NM_000689","aldehyde dehydrogenase 1 family member A1",5.81438622528379,-3.12698761707656,1.00280745160886e-06,8.94137384236035
5385,65,"hsa-miR-200b-3p",862,"RUNX1T1","NM_001198625","RUNX1 translocation partner 1",5.81438622528379,-3.10966830832047,6.56112523988331e-08,8.92405453360426
5296,65,"hsa-miR-200c-3p",6591,"SNAI2","NM_003068","snail family transcriptional repressor 2",6.50098278914646,-2.26207783802063,3.74178240312584e-07,8.76306062716709
1565,89,"hsa-miR-200c-3p",4915,"NTRK2","NM_001018064","neurotrophic receptor tyrosine kinase 2",6.50098278914646,-2.19057050477315,3.6044622636648e-05,8.69155329391961
277,97,"hsa-miR-200c-3p",63976,"PRDM16","NM_022114","PR/SET domain 16",6.50098278914646,-2.16060289287185,7.1354756486435e-07,8.66158568201831
1780,88,"hsa-miR-200c-3p",7077,"TIMP2","NM_003255","TIMP metallopeptidase inhibitor 2",6.50098278914646,-2.15557665464166,6.31778654703402e-07,8.65655944378812
5614,63,"hsa-miR-200c-3p",5577,"PRKAR2B","NM_002736","protein kinase cAMP-dependent type II regulatory subunit beta",6.50098278914646,-2.11851660326171,2.71230202115854e-06,8.61949939240817
688,94,"hsa-miR-200c-3p",1843,"DUSP1","NM_004417","dual specificity phosphatase 1",6.50098278914646,-2.08824495651925,0.000612554181472361,8.58922774566571
3125,80,"hsa-miR-200c-3p",1009,"CDH11","NM_001308392","cadherin 11",6.50098278914646,-2.07244366341562,0.00137585670163952,8.57342645256208
878,93,"hsa-miR-200c-3p",114928,"GPRASP2","NM_001004051","G protein-coupled receptor associated sorting protein 2",6.50098278914646,-2.05190126528103,6.43941227984831e-06,8.55288405442749
2881,82,"hsa-miR-200b-3p",25959,"KANK2","NM_001136191","KN motif and ankyrin repeat domains 2",5.81438622528379,-2.69915739165743,5.05090598430855e-08,8.51354361694122
418,96,"hsa-miR-200c-3p",1124,"CHN2","NM_001293079","chimerin 2",6.50098278914646,-1.99945419259379,1.63722751261291e-06,8.50043698174025
35,100,"hsa-miR-200b-3p",6935,"ZEB1","NM_001323661","zinc finger E-box binding homeobox 1",5.81438622528379,-2.68191062561769,1.82345733391053e-08,8.49629685090148
2237,86,"hsa-miR-200b-3p",219654,"ZCCHC24","NM_153367","zinc finger CCHC-type containing 24",5.81438622528379,-2.65869768631342,8.170276185705e-11,8.47308391159721
1867,88,"hsa-miR-200b-3p",9957,"HS3ST1","NM_005114","heparan sulfate-glucosamine 3-sulfotransferase 1",5.81438622528379,-2.64388157735159,1.27535197699084e-06,8.45826780263538
4296,72,"hsa-miR-200c-3p",79625,"NDNF","NM_024574","neuron derived neurotrophic factor",6.50098278914646,-1.9309572646163,1.89892059152061e-06,8.43194005376276
1760,88,"hsa-miR-200c-3p",85458,"DIXDC1","NM_001037954","DIX domain containing 1",6.50098278914646,-1.88870519174551,4.0604958807889e-07,8.38968798089197
