"Target.Rank","Target.Score","miRNA.Name","Gene.ID","Gene.Symbol","Transcript.Accession","Gene.Description","mir_logFC","gene_logFC","gene_adj_pval","strength_score"
1305,92,"hsa-miR-221-3p",58524,"DMRT3","NM_021240","doublesex and mab-3 related transcription factor 3",3.278759186,-4.05653252817806,2.36574756440987e-10,7.33529171417806
2611,87,"hsa-miR-19b-3p",5099,"PCDH7","NM_032456","protocadherin 7",3.59930683325,-1.87191618069335,8.84737236727099e-08,5.47122301394335
3179,84,"hsa-miR-20a-5p",51334,"PRR16","NM_001300783","proline rich 16",2.40912728475,-2.98127867165536,2.2335074505614e-10,5.39040595640536
5944,70,"hsa-miR-221-3p",80031,"SEMA6D","NM_153619","semaphorin 6D",3.278759186,-1.99984732423617,5.37044757562161e-07,5.27860651023617
2630,87,"hsa-miR-20a-5p",5156,"PDGFRA","NM_006206","platelet derived growth factor receptor alpha",2.40912728475,-2.83429686943465,4.29510490024002e-09,5.24342415418465
5791,71,"hsa-miR-19b-3p",3638,"INSIG1","NM_198337","insulin induced gene 1",3.59930683325,-1.61951885052588,3.97020243418553e-07,5.21882568377588
1012,94,"hsa-miR-19b-3p",3251,"HPRT1","NM_000194","hypoxanthine phosphoribosyltransferase 1",3.59930683325,-1.47736680891736,1.13069746613958e-05,5.07667364216736
626,96,"hsa-miR-19b-3p",4919,"ROR1","NM_005012","receptor tyrosine kinase like orphan receptor 1",3.59930683325,-1.398280170103,1.60538138315041e-06,4.997587003353
5132,75,"hsa-miR-19b-3p",389421,"LIN28B","NM_001004317","lin-28 homolog B",3.59930683325,-1.39158325030177,4.32873300744894e-06,4.99089008355177
1477,92,"hsa-miR-19b-3p",10479,"SLC9A6","NM_001177651","solute carrier family 9 member A6",3.59930683325,-1.34232028926734,2.28564875816749e-05,4.94162712251734
5217,74,"hsa-miR-20a-5p",5396,"PRRX1","NM_006902","paired related homeobox 1",2.40912728475,-2.51365920549108,1.33458948636677e-09,4.92278649024108
4331,79,"hsa-miR-19b-3p",23461,"ABCA5","NM_018672","ATP binding cassette subfamily A member 5",3.59930683325,-1.31227759901523,7.03689520176285e-05,4.91158443226523
2943,86,"hsa-miR-19b-3p",890,"CCNA2","NM_001237","cyclin A2",3.59930683325,-1.25696088445794,0.000800186244942561,4.85626771770794
2642,87,"hsa-miR-20a-5p",25927,"CNRIP1","NM_001111101","cannabinoid receptor interacting protein 1",2.40912728475,-2.42977335790284,7.92528609022008e-09,4.83890064265284
3498,83,"hsa-miR-19b-3p",55165,"CEP55","NM_001127182","centrosomal protein 55",3.59930683325,-1.12469793699882,0.000631153043063608,4.72400477024882
1955,90,"hsa-miR-19b-3p",91947,"ARRDC4","NM_183376","arrestin domain containing 4",3.59930683325,-1.12068318588226,0.000131952471656916,4.71999001913226
5446,73,"hsa-miR-19b-3p",55758,"RCOR3","NM_001136224","REST corepressor 3",3.59930683325,-1.1165474850851,1.35188602551151e-05,4.7158543183351
753,95,"hsa-miR-19b-3p",8503,"PIK3R3","NM_001114172","phosphoinositide-3-kinase regulatory subunit 3",3.59930683325,-1.03706654495062,0.00070283695645711,4.63637337820062
4583,78,"hsa-miR-19b-3p",84056,"KATNAL1","NM_001014380","katanin catalytic subunit A1 like 1",3.59930683325,-1.0233400324971,0.00310069050374388,4.6226468657471
3367,83,"hsa-miR-221-3p",154007,"SNRNP48","NM_152551","small nuclear ribonucleoprotein U11/U12 subunit 48",3.278759186,-1.34089610294822,0.00012414513463287,4.61965528894822
1232,92,"hsa-miR-20a-5p",6241,"RRM2","NM_001034","ribonucleotide reductase regulatory subunit M2",2.40912728475,-2.12759493903441,4.70606023843023e-06,4.53672222378441
6276,68,"hsa-miR-221-3p",22837,"COBLL1","NM_001278461","cordon-bleu WH2 repeat protein like 1",3.278759186,-1.20508720786515,4.2656689308272e-07,4.48384639386515
7124,63,"hsa-miR-221-3p",2820,"GPD2","NM_001083112","glycerol-3-phosphate dehydrogenase 2",3.278759186,-1.18001813115956,1.72346728697465e-05,4.45877731715956
1507,91,"hsa-miR-221-3p",10112,"KIF20A","NM_005733","kinesin family member 20A",3.278759186,-1.16467997905059,0.000772050167413316,4.44343916505059
1827,90,"hsa-miR-221-3p",10979,"FERMT2","NM_001134999","fermitin family member 2",3.278759186,-1.15450613881479,0.00014707009540422,4.43326532481479
4469,78,"hsa-miR-221-3p",10838,"ZNF275","NM_001080485","zinc finger protein 275",3.278759186,-1.13397066813293,0.00353934967227372,4.41272985413293
6567,66,"hsa-miR-20a-5p",80816,"ASXL3","NM_030632","ASXL transcriptional regulator 3",2.40912728475,-1.75612186872731,2.36574756440987e-10,4.16524915347731
2683,86,"hsa-miR-20a-5p",54495,"TMX3","NM_019022","thioredoxin related transmembrane protein 3",2.40912728475,-1.68798154257451,3.99488201163731e-07,4.09710882732451
467,96,"hsa-miR-20a-5p",285172,"FAM126B","NM_173822","family with sequence similarity 126 member B",2.40912728475,-1.3593624718385,3.00341454967243e-05,3.7684897565885
6903,65,"hsa-miR-20a-5p",993,"CDC25A","NM_001789","cell division cycle 25A",2.40912728475,-1.35746016384894,0.00213647213588758,3.76658744859894
